3MA	[np] - 3MA [np]
contributif	[adj] - contributivo [adj]
contribution	[n] - contribución [n]
contrition	[n] - contrición [n]
controverse	[n] - controversia [n]
controversé	[adj] - controvertido [adj]
controversé	[adj] - polémico [adj]
contrôle	[n] - chequeo [n]
contrôle	[n] - control [n]
contrôle technique automobile	[n.acr.m] - ITV [n.acr.f]
contrôler	[vblex] - controlar [vblex]
contrôleur	[n] - interventor [n]
convaincant	[adj.f] - convincente [adj.mf]
convaincant	[adj.GD] - convincente [adj.mf]
convaincant	[adj.m] - convincente [adj.mf]
convaincre	[vblex] - convencer [vblex]
convalescent	[adj.f] - convaleciente [adj.mf]
convalescent	[adj.GD] - convaleciente [adj.mf]
convalescent	[adj.m] - convaleciente [adj.mf]
convection	[n] - convección [n]
convenable	[adj] - conveniente [adj]
convenir	[vblex] - acordar [vblex]
convenir	[vblex] - convenir [vblex]
convenir verbalement de	[vblex] - apalabrar [vblex]
convention	[n.f] - convenio [n.m]
convention	[n] - convención [n]
convention collective	[n.f] - convenio colectivo [n.m]
conventionnel	[adj.f] - convencional [adj.mf]
conventionnel	[adj.GD] - convencional [adj.mf]
conventionnel	[adj.m] - convencional [adj.mf]
conventions de Genève	[np] - convenciones de Ginebra [np]
Convergence des syndicats de gauche	[n.acr] - ESK [n.acr]
conversation	[n] - conversación [n]
conversion	[n] - conversión [n]
convertibilité	[n] - convertibilidad [n]
convertible	[adj] - convertible [adj]
convertir	[vblex] - convertir [vblex]
conviction	[n.f] - convencimiento [n.m]
conviction	[n] - convicción [n]
convier	[vblex] - invitar [vblex]
convivialité	[n] - convivialidad [n]
convocation	[n] - convocatoria [n]
convocation libre	[n] - convocatoria libre [n]
convocation restreinte	[n] - convocatoria restringida [n]
convoi	[n] - convoy [n]
convoitable	[adj] - codiciable [adj]
convoquer	[vblex] - convocar [vblex]
convoquer	[vblex] - emplazar [vblex]
convulsion	[n] - convulsión [n]
Cook	[np] - Cook [np]
Cooper	[np] - Cooper [np]
cooperation	[n] - cooperación [n]
coopérateur	[adj] - cooperador [adj]
coopérateur	[n] - cooperador [n]
coopératif	[adj] - cooperativo [adj]
coopération	[n] - cooperación [n]
coopérer	[vblex] - cooperar [vblex]
coordinateur	[adj] - coordinador [adj]
coordinateur	[n] - coordinador [n]
coordination	[n] - coordinación [n]
coordonner	[vblex] - coordinar [vblex]
coordonné	[adj.mf] - coordinado [adj.f]
coordonné	[adj.mf] - coordinado [adj.GD]
coordonné	[adj.mf] - coordinado [adj.m]
Copenhague	[np] - Copenhague [np]
copie	[n] - copia [n]
copinage	[n] - amiguismo [n]
coproduction	[n] - coproducción [n]
copropriétaire	[n.mf] - copropietario [n.f]
copropriétaire	[n.mf] - copropietario [n.GD]
copropriétaire	[n.mf] - copropietario [n.m]
copyright	[n] - copyright [n]
Copé	[np] - Copé [np]
coq	[n] - gallo [n]
coque	[n.f] - casco [n.m]
coquille	[n] - concha [n]
coquille	[n] - cáscara [n]
coquin	[adj] - pícaro [adj]
coquin	[n] - pícaro [n]
Coran	[np] - Corán [np]
corbeille	[n.f] - cesto [n.m]
corbeille	[n] - cesta [n]
corbeille à papier	[n] - papelera [n]
Corbera	[np] - Corbera [np]
Corcuera	[np] - Corcuera [np]
corde	[n] - cuerda [n]
corder	[vblex] - torcer [vblex]
cordial	[adj.f] - cordial [adj.mf]
cordial	[adj.GD] - cordial [adj.mf]
cordial	[adj.m] - cordial [adj.mf]
cordialement	[adv] - cordialmente [adv]
Cordillère Australienne	[np] - Gran Cordillera Divisoria [np]
Cordillère Cantabrique	[np] - Cordillera Cantábrica [np]
Cordillère des Andes	[np] - Cordillera de los Andes [np]
Cordillères Bétiques	[np] - Cordillera Bética [np]
cordonnier	[n] - zapatero [n]
Cordoue	[np] - Córdoba [np]
Corella	[np] - Corella [np]
Corfou	[np] - Corfu [np]
Coria	[np.loc] - Coria [np.loc]
Corine	[np] - Corine [np]
Corinne	[np] - Corinne [np]
Corinthe	[np] - Corinto [np]
Corisco	[np] - Corisco [np]
Corm	[np] - Corm [np]
corne	[n.f] - cuerno [n.m]
Corne d'Or	[np] - Cuerno de Oro [np]
corne de l'Afrique	[np] - cuerno de África [np]
Cornelius Nepos	[np] - Cornelio Nepote [np]
Cornellà	[np.loc] - Cornellà [np.loc]
Cornellà	[np.loc] - Cornellá [np.loc]
corner	[n] - córner [n]
corniche	[n] - cornisa [n]
Cornouailles	[np] - Cornualles [np]
Coromina	[np] - Coromina [np]
Corominas	[np] - Corominas [np]
Corporate	[np] - Corporate [np]
corporatif	[adj] - corporativo [adj]
corporation	[n] - corporación [n]
corps	[n.m.sp] - cuerpo [n.m.ND]
corps	[n.m.sp] - cuerpo [n.m.pl]
corps	[n.m.sp] - cuerpo [n.m.sg]
corps de métier	[n.m.sp] - gremio [n.m.ND]
corps de métier	[n.m.sp] - gremio [n.m.pl]
corps de métier	[n.m.sp] - gremio [n.m.sg]
Corrales	[np] - Corrales [np]
Correa	[np] - Correa [np]
correct	[adj] - correcto [adj]
correctement	[adv] - correctamente [adv]
correcteur	[adj] - corrector [adj]
correcteur	[n] - corrector [n]
correctif	[adj] - correctivo [adj]
correction	[n] - corrección [n]
correctionnel	[adj.f] - correccional [adj.mf]
correctionnel	[adj.GD] - correccional [adj.mf]
correctionnel	[adj.m] - correccional [adj.mf]
Corredoira	[np] - Corredoira [np]
correspondance	[n] - correspondencia [n]
correspondant	[adj.f] - correspondiente [adj.mf]
correspondant	[adj.GD] - correspondiente [adj.mf]
correspondant	[adj.m] - correspondiente [adj.mf]
correspondre	[vblex] - corresponder [vblex]
corridor	[n.m] - corredor [n.f]
corridor	[n.m] - corredor [n.GD]
corridor	[n.m] - corredor [n.m]
corriger	[vblex] - corregir [vblex]
corruption	[n] - corrupción [n]
Corrèze	[np] - Corrèze [np]
corrélation	[n] - correlación [n]
Corsa	[np] - Corsa [np]
Corse	[np] - Córcega [np]
Corse-du-Sud	[np] - Córcega del Sur [np]
Corsica	[np] - Córcega [np]
corticostéroïde	[n] - corticoesteroide [n]
corticothérapie	[n] - corticoterapia [n]
corticoïde	[n] - corticoide [n]
cortège	[n] - cortejo [n]
cortège	[n] - séquito [n]
Corée	[np] - Corea [np]
Corée du Nord	[np] - Corea del Norte [np]
Corée du Sud	[np] - Corea del Sur [np]
coréen	[adj] - coreano [adj]
COS	[n] - COS [n]
cosmopolite	[adj] - cosmopolita [adj]
Costa Blanca	[np] - Costa Blanca [np]
Costa Brava	[np] - Costa Brava [np]
Costa del Azahar	[np] - Costa del Azahar [np]
Costa del Sol	[np] - Costa del Sol [np]
Costa Rica	[np] - Costa Rica [np]
costaricien	[adj.f] - costarricense [adj.mf]
costaricien	[adj.GD] - costarricense [adj.mf]
costaricien	[adj.m] - costarricense [adj.mf]
costumer	[vblex] - disfrazar [vblex]
Cosworth	[np] - Cosworth [np]
Cotado	[np] - Cotado [np]
cote	[n] - cota [n]
coter	[vblex] - cotizar [vblex]
coter en bourse	[vblex] - cotizar en bolsa [vblex]
Coti	[np] - Coti [np]
cotisation	[n] - cotización [n]
cotitulaire	[n] - cotitular [n]
cotonnier	[adj] - algodonero [adj]
cou	[n] - cuello [n]
couche	[n] - corteza [n]
coucher	[vblex] - acostar [vblex]
coucher	[vblex] - encamar [vblex]
coucher à l'heure des poules	[vblex] - acostar con las gallinas [vblex]
couchette	[n] - camilla [n]
couchette	[n] - litera [n]
coude	[n] - codo [n]
coudre	[vblex] - coser [vblex]
couette	[n.f] - edredón nórdico [n.m]
couler	[vblex] - fluir [vblex]
couleur	[n.f] - color [n.m]
couloir	[n] - pasillo [n]
coup	[n.m] - jugada [n.f]
coup	[n] - disparo [n]
coup	[n] - golpe [n]
coup	[n] - latigazo [n]
coup	[n] - toque [n]
coup d'accélérateur	[n] - acelerón [n]
coup d'oeil	[n] - vistazo [n]
coup de couteau	[n.m] - cuchillada [n.f]
coup de griffe	[n] - zarpazo [n]
coup de pied	[n.m] - patada [n.f]
coup de pinceau	[n.m] - pincelada [n.f]
coup de pistolet	[n] - pistoletazo [n]
coup de poignard	[n.m] - puñalada [n.f]
coup de tête	[n] - cabezazo [n]
coupable	[adj.mf] - culpable [adj.mf]
coupant	[adj.f] - tajante [adj.mf]
coupant	[adj.GD] - cortante [adj.mf]
coupant	[adj.GD] - tajante [adj.mf]
coupant	[adj.m] - tajante [adj.mf]
coupe	[n] - copa [n]
Coupe Libertadores	[np] - Copa Libertadores [np]
coupe-feu	[n.m.sp] - cortafuego [n.m.ND]
coupe-feu	[n.m.sp] - cortafuego [n.m.pl]
coupe-feu	[n.m.sp] - cortafuego [n.m.sg]
couper	[vblex] - atajar [vblex]
couper	[vblex] - cortar [vblex]
couper	[vblex] - tallar [vblex]
couper l'herbe sous le pied	[vblex] - ganar por la mano [vblex]
couple	[n.m] - pareja [n.f]
coupler	[vblex] - acoplar [vblex]
coupon	[n] - cupón [n]
cour	[n.f] - corte [n.f]
cour	[n.f] - patio [n.m]
cour de cassation	[n.f] - tribunal de casación [n.m]
cour suprême	[n.f] - tribunal supremo [n.m]
cour suprême	[n.f] - tribunalsupremo [n.m]
courage	[n] - coraje [n]
courageux	[adj.f] - valiente [adj.mf]
courageux	[adj.m.sp] - valiente [adj.mf.ND]
courageux	[adj] - corajoso [adj]
courant	[adj.f] - corriente [adj.mf]
courant	[adj.GD] - corriente [adj.mf]
courant	[adj.m] - corriente [adj.mf]
courant	[n.m] - corriente [n.f]
Courant du Golfe	[np] - corriente del Golfo [np]
courbe	[n] - curva [n]
Courbet	[np] - Courbet [np]
coureur	[n] - corredor [n]
courir	[vblex] - correr [vblex]
Courjault	[np] - Courjault [np]
Cournot	[np] - Cournot [np]
couronement	[n] - broche de oro [n]
couronement	[n] - broche final [n]
couronne	[n] - corona [n]
couronnement	[n] - colofón [n]
couronner	[vblex] - coronar [vblex]
courrier	[n] - correo [n]
courroie	[n] - correa [n]
cours	[n.m.sp] - cotización [n.f.pl]
cours	[n.m.sp] - cotización [n.f.sg]
cours	[n.m.sp] - curso [n.m.ND]
cours	[n.m.sp] - curso [n.m.pl]
cours	[n.m.sp] - curso [n.m.sg]
cours	[n.m.sp] - rambla [n.f.pl]
cours	[n.m.sp] - rambla [n.f.sg]
cours de formation	[n] - curso de formación [n]
course	[n] - carrera [n]
course aux armements	[n] - carrera armamentística [n]
courser	[vblex] - perseguir [vblex]
court	[adj] - corto [adj]
court	[n] - cancha [n]
court-circuit	[n] - cortocircuito [n]
court-métrage	[n] - cortometraje [n]
courtage	[n.m] - correduría [n.f]
courtage	[n] - corretaje [n]
courtier	[n] - corredor [n]
courtine	[n] - cortina [n]
cousin	[n] - primo [n]
coussin	[n.m] - almohada [n.f]
couteau	[n.m] - navaja [n.f]
couteau	[n] - cuchillo [n]
coutume	[n.f] - costumbre [n.f]
couture	[n] - costura [n]
couturier	[n.f] - costurera [n.f]
couturier	[n] - modisto [n]
couver	[vblex] - empollar [vblex]
couvercle	[n.m] - tapadera [n.f]
couverture	[n] - cobertura [n]
couverture	[n] - cubierta [n]
couverture	[n] - manta [n]
couverture	[n] - portada [n]
couverture médiatique	[n] - cobertura informativa [n]
couvrir	[vblex] - abrigar [vblex]
couvrir	[vblex] - cubrir [vblex]
couvrir des risques	[vblex] - cubrir riesgos [vblex]
Coville	[np] - Coville [np]
Cowen	[np] - Cowen [np]
Coïmbre	[np] - Coimbra [np]
coïncident	[adj.f] - coincidente [adj.mf]
coïncident	[adj.GD] - coincidente [adj.mf]
coïncident	[adj.m] - coincidente [adj.mf]
coïncider	[vblex] - coincidir [vblex]
coût	[n] - coste [n]
coût	[n] - costo [n]
coûte que coûte	[adv] - cueste lo que cueste [adv]
coûter	[vblex] - costar [vblex]
coûter les yeux de la tête	[vblex] - costar un ojo de la cara [vblex]
coûter les yeux de la tête	[vblex] - costar un riñón [vblex]
coûteux	[adj.f] - costoso [adj.f]
coûteux	[adj.m.sp] - costoso [adj.m.ND]
coûteux	[adj.m.sp] - costoso [adj.m.pl]
coûteux	[adj.m.sp] - costoso [adj.m.sg]
CR	[n.acr] - CR [n.acr]
crabe	[n] - cangrejo [n]
crack	[n] - crack [n]
craindre	[vblex] - temer [vblex]
crainte	[n.f] - temor [n.m]
crapaud	[n] - sapo [n]
Crassus	[np] - Craso [np]
cravate	[n] - corbata [n]
crayon	[n] - lápiz [n]
credigazte	[np] - credigazte [np]
credikutxa	[np] - credikutxa [np]
Cremades	[np] - Cremades [np]
Crespo	[np] - Crespo [np]
Creuse	[np] - Creuse [np]
creuset	[n] - crisol [n]
Creusot	[np] - Creusot [np]
creux	[n.m.sp] - hueco [n.m.ND]
creux	[n.m.sp] - hueco [n.m.pl]
creux	[n.m.sp] - hueco [n.m.sg]
crevasse	[n] - grieta [n]
crever les yeux	[vblex] - saltar a la vista [vblex]
crevette	[n] - gamba [n]
cri	[n] - grito [n]
criant	[adj] - escandaloso [adj]
cribler	[vblex] - acribillar [vblex]
crier	[vblex] - gritar [vblex]
crier comme un putois	[vblex] - chillar como un condenado [vblex]
Crillon	[np] - Crillon [np]
crime	[n] - crimen [n]
criminalisation	[n] - criminalización [n]
criminaliser	[vblex] - criminalizar [vblex]
criminalité	[n] - criminalidad [n]
criminel	[adj.f] - criminal [adj.mf]
criminel	[adj.GD] - criminal [adj.mf]
criminel	[adj.m] - criminal [adj.mf]
criminel	[n.f] - criminal [n.mf]
criminel	[n.GD] - criminal [n.mf]
criminel	[n.m] - criminal [n.mf]
Crimée	[np] - Crimea [np]
crise	[n.f.ND] - crisis [n.f.sp]
crise	[n.f.pl] - crisis [n.f.sp]
crise	[n.f.sg] - crisis [n.f.sp]
crispation	[n] - crispación [n]
cristallisation	[n] - cristalización [n]
cristalliser	[vblex] - cristalizar [vblex]
Cristian	[np] - Cristian [np]
Cristina	[np] - Cristina [np]
Cristóbal	[np] - Cristóbal [np]
critique	[adj.mf] - crítico [adj.f]
critique	[adj.mf] - crítico [adj.GD]
critique	[adj.mf] - crítico [adj.m]
critique	[n.mf] - crítico [n.f]
critique	[n.mf] - crítico [n.GD]
critique	[n.mf] - crítico [n.m]
critiquer	[vblex] - criticar [vblex]
critère	[n] - criterio [n]
critérium	[n] - critérium [n]
CRO	[n.acr] - CRO [n.acr]
croate	[adj] - croata [adj]
croate	[n] - croata [n]
Croatie	[np] - Croacia [np]
crocher	[vblex] - aferrar [vblex]
crochet	[n] - gancho [n]
croire	[vblex] - creer [vblex]
croisement	[n] - cruce [n]
croiser	[vblex] - cruzar [vblex]
croisière	[n.f] - crucero [n.m]
croissance	[n.f] - crecimiento [n.m]
croissant	[adj.f] - creciente [adj.mf]
croissant	[adj.GD] - creciente [adj.mf]
croissant	[adj.m] - creciente [adj.mf]
croisée	[n.f] - cruce [n.m]
croix	[n.f.sp] - cruz [n.f.ND]
croix	[n.f.sp] - cruz [n.f.pl]
croix	[n.f.sp] - cruz [n.f.sg]
Croix-Rouge	[np] - Cruz Roja [np]
Cronenbery	[np] - Cronenbery [np]
Cross	[np] - Cross [np]
Crotone	[np] - Crotona [np]
Crowe	[np] - Crowe [np]
croyance	[n] - creencia [n]
croyant	[adj.f] - creyente [adj.mf]
croyant	[adj.GD] - creyente [adj.mf]
croyant	[adj.m] - creyente [adj.mf]
croyant	[n.f] - creyente [n.mf]
croyant	[n.GD] - creyente [n.mf]
croyant	[n.m] - creyente [n.mf]
croître	[vblex] - crecer [vblex]
cru	[adj] - crudo [adj]
Cruchaga	[np] - Cruchaga [np]
crucial	[adj.f] - crucial [adj.mf]
crucial	[adj.GD] - crucial [adj.mf]
crucial	[adj.m] - crucial [adj.mf]
crue	[n] - riada [n]
cruel	[adj.f] - cruel [adj.mf]
cruel	[adj.GD] - cruel [adj.mf]
cruel	[adj.m] - cruel [adj.mf]
Cruise	[np] - Cruise [np]
Cruz	[np] - Cruz [np]
crypter	[vblex] - encriptar [vblex]
crânio-encéphalique	[adj.mf] - craneoencefálico [adj.f]
crânio-encéphalique	[adj.mf] - craneoencefálico [adj.GD]
crânio-encéphalique	[adj.mf] - craneoencefálico [adj.m]
crème	[n] - crema [n]
Crète	[np] - Creta [np]
créancier à long terme	[adj] - acreedor a largo plazo [adj]
créateur	[n.mf] - creador [n.f]
créateur	[n.mf] - creador [n.GD]
créateur	[n.mf] - creador [n.m]
créatif	[adj] - creativo [adj]
création	[n.f] - diseño [n.m]
création	[n] - creación [n]
création de services	[n.f] - diseño de servicios [n.m]
créativité	[n] - creatividad [n]
créature	[n.f.pl] - crío [n.f.pl]
créature	[n.f.pl] - crío [n.m.pl]
créature	[n.f.sg] - crío [n.f.sg]
créature	[n.f.sg] - crío [n.m.sg]
créature	[n] - criatura [n]
crédibilité	[n] - credibilidad [n]
crédible	[adj] - creíble [adj]
crédit	[n] - crédito [n]
Crédit Agricole	[np] - Crédit Agricole [np]
Crédit Lyonnais	[np] - Crédit Lyonnais [np]
crédit personnel	[n] - crédito personal [n]
crédit relais	[n] - crédito personal puente [n]
crédit à court terme	[n] - crédito a corto plazo [n]
crédit à long terme	[n] - crédito a largo plazo [n]
créditeur	[adj] - acreedor [adj]
créditeur	[n] - acreedor [n]
crédulité	[n] - credulidad [n]
créer	[vblex] - crear [vblex]
crémation	[n] - cremación [n]
crépuscule	[n] - crepúsculo [n]
Créteil	[np] - Créteil [np]
CSC	[n] - CSC [n]
CSKA	[n] - CSKA [n]
Cuapio	[np] - Cuapio [np]
Cuba	[np] - Cuba [np]
cubain	[adj] - cubano [adj]
cubisme	[n] - cubismo [n]
Cudeyo	[np] - Cudeyo [np]
cueillir	[vblex] - cosechar [vblex]
Cuenca	[np] - Cuenca [np]
Cuevas	[np] - Cuevas [np]
cuir	[n] - cuero [n]
cuirassé	[adj] - acorazado [adj]
cuirassé	[n] - acorazado [n]
cuire	[vblex] - cocer [vblex]
cuisine	[n] - cocina [n]
cuisiner	[vblex] - cocinar [vblex]
cuisinier	[n] - cocinero [n]
cuisse	[n.f] - muslo [n.m]
cuivre	[n] - cobre [n]
cul	[n] - culo [n]
culot	[n.m] - jeta [n.f]
culpabilisation	[n] - culpabilización [n]
culpabilité	[n] - culpabilidad [n]
culte	[n] - culto [n]
cultiver	[vblex] - cultivar [vblex]
Culture	[np] - Kultura [np]
culture	[n.f] - cultivo [n.m]
culture	[n.f] - cultura [n.f]
culturel	[adj.f] - cultural [adj.mf]
culturel	[adj.GD] - cultural [adj.mf]
culturel	[adj.m] - cultural [adj.mf]
Cumes	[np] - Cumas [np]
cumul	[n] - cúmulo [n]
cumulatif	[adj] - acumulativo [adj]
Cunego	[np] - Cunego [np]
Cupido	[np] - Cupido [np]
Cupidon	[np] - Cupidon [np]
curieusement	[adv] - curiosamente [adv]
curieux	[adj.f] - curioso [adj.f]
curieux	[adj.m.sp] - curioso [adj.m.ND]
curieux	[adj.m.sp] - curioso [adj.m.pl]
curieux	[adj.m.sp] - curioso [adj.m.sg]
curiosité	[n] - curiosidad [n]
curriculum	[n] - curriculum [n]
curriculum vitae	[n] - curriculum vitae [n]
curseur	[n] - cursor [n]
curé	[n.m] - cura [n.m]
cuvette	[n] - cubeta [n]
Cy Twombly	[np] - Cy Twombly [np]
cybercriminalité	[n] - cibercriminalidad [n]
Cybèle	[np] - Cibeles [np]
Cyclades	[np] - Cicladas [np]
cycle	[n] - ciclo [n]
cyclique	[adj.mf] - cíclico [adj.f]
cyclique	[adj.mf] - cíclico [adj.GD]
cyclique	[adj.mf] - cíclico [adj.m]
cyclisme	[n] - ciclismo [n]
cycliste	[adj] - ciclista [adj]
cycliste	[n] - ciclista [n]
cyclo-cross	[n] - ciclocross [n]
cyclone	[n] - ciclón [n]
cyprès	[n.m.sp] - ciprés [n.m.ND]
cyprès	[n.m.sp] - ciprés [n.m.pl]
cyprès	[n.m.sp] - ciprés [n.m.sg]
Cyrano de Bergerac	[np] - Cirano de Bergerac [np]
Cyrille	[np] - Cyrille [np]
Cyrus	[np] - Ciro [np]
Cyrus II le Grand	[np] - Ciro II el Grande [np]
Cyrus le Jeune	[np] - Ciro el Joven [np]
Cyrénaïque	[np] - Cirenaica [np]
Cyréne	[np] - Cirene [np]
CZE	[n] - CZE [n]
Cáceres	[np] - Cáceres [np]
Cándido	[np] - Cándido [np]
Cánovas	[np] - Cánovas [np]
Cárcer	[np] - Càrcer [np]
Cárcer	[np] - Cárcer [np]
Cárdenas	[np] - Cárdenas [np]
câble	[n] - cable [n]
Cème	[adj] - C [adj]
Cécile	[np] - Cécile [np]
Cécilia	[np] - Cécilia [np]
céder	[vblex] - ceder [vblex]
Cédric	[np] - Cédric [np]
cédule	[n] - cédula [n]
cédule hypothécaire	[n] - cédula hipotecaria [n]
céleste	[adj] - celeste [adj]
célibat	[n.m] - soltería [n.f]
célibat	[n] - celibato [n]
célibataire	[adj.mf] - soltero [adj.f]
célibataire	[adj.mf] - soltero [adj.GD]
célibataire	[adj.mf] - soltero [adj.m]
célibataire	[n.mf] - soltero [n.f]
célibataire	[n.mf] - soltero [n.GD]
célibataire	[n.mf] - soltero [n.m]
Céline	[np] - Céline [np]
Célèbes	[np] - Célebes [np]
célèbre	[adj] - célebre [adj]
célébration	[n] - celebración [n]
célébrer	[vblex] - celebrar [vblex]
célébrité	[n] - celebridad [n]
célérité	[n] - celeridad [n]
céramique	[n] - cerámica [n]
cérium	[n] - cerio [n]
cérébral	[adj.f] - cerebral [adj.mf]
cérébral	[adj.GD] - cerebral [adj.mf]
cérébral	[adj.m] - cerebral [adj.mf]
cérémonie	[n] - ceremonia [n]
César	[np] - César [np]
Cézanne	[np] - Cézanne [np]
Côme	[np] - Como [np]
cône	[n] - cono [n]
côte	[n.f] - chuletón [n.m]
côte	[n] - costa [n]
côte	[n] - cuesta [n]
côte	[n] - orilla [n]
Côte d'Azur	[np] - Costa Azul [np]
Côte d'Ivoire	[np] - Costa de Marfil [np]
côte des Esclaves	[np] - costa de los Esclavos [np]
Côte-d'Or	[np] - Costa de Oro [np]
Côte-d'Or	[np] - Côte-d'Or [np]
côtelette	[n] - chuleta [n]
côtelette	[n] - costilla [n]
Côtes-d'Armor	[np] - Côtes-d'Armor [np]
côtier	[adj] - costero [adj]
côtoyer	[vblex] - bordear [vblex]
côtoyer	[vblex] - codear con [vblex]
côtoyer	[vblex] - codear [vblex]
côté	[n] - lado [n]
D	[num] - D [num]
d	[n.m] - d [n.f]
d'abord	[adv] - primeramente [adv]
d'abord	[adv] - primero [adv]
d'accord	[adv] - de acuerdo [adv]
d'accord	[ij] - de acuerdo [ij]
d'alava	[adj.mf.sp] - alavés [adj.f.pl]
d'alava	[adj.mf.sp] - alavés [adj.f.sg]
d'alava	[adj.mf.sp] - alavés [adj.GD.ND]
d'alava	[adj.mf.sp] - alavés [adj.m.pl]
d'alava	[adj.mf.sp] - alavés [adj.m.sg]
D'Alema	[np] - D'Alema [np]
d'Alicante	[adj.mf.sp] - alicantino [adj.f.pl]
d'Alicante	[adj.mf.sp] - alicantino [adj.f.sg]
d'Alicante	[adj.mf.sp] - alicantino [adj.GD.ND]
d'Alicante	[adj.mf.sp] - alicantino [adj.m.pl]
d'Alicante	[adj.mf.sp] - alicantino [adj.m.sg]
d'almería	[adj.mf.sp] - almeriense [adj.mf.ND]
d'almería	[adj.mf.sp] - almeriense [adj.mf.pl]
d'almería	[adj.mf.sp] - almeriense [adj.mf.sg]
d'Anvers	[np] - d'Anvers [np]
d'après	[cnjadv] - según [cnjadv]
d'assistance	[adj.mf.sp] - asistencial [adj.mf.ND]
d'assistance	[adj.mf.sp] - asistencial [adj.mf.pl]
d'assistance	[adj.mf.sp] - asistencial [adj.mf.sg]
d'aussi loin que	[cnjadv] - por más lejos que [cnjadv]
d'autant moins	[adv] - tanto menos [adv]
d'autant plus que	[cnjadv] - tanto más cuanto [cnjadv]
d'autant plus que	[cnjadv] - y más si tenemos en cuenta que [cnjadv]
d'autant que	[cnjadv] - si tenemos en cuenta que [cnjadv]
d'autre	[adj.ind.mf] - otro [adj.ind.GD]
d'autre part	[adv] - por otro lado [adv]
d'autrui	[adj.mf.sp] - ajeno [adj.f.pl]
d'autrui	[adj.mf.sp] - ajeno [adj.f.sg]
d'autrui	[adj.mf.sp] - ajeno [adj.GD.ND]
d'autrui	[adj.mf.sp] - ajeno [adj.m.pl]
d'autrui	[adj.mf.sp] - ajeno [adj.m.sg]
d'avance	[adv] - de antemano [adv]
d'avila	[adj.mf.sp] - abulense [adj.mf.ND]
d'avila	[adj.mf.sp] - abulense [adj.mf.pl]
d'avila	[adj.mf.sp] - abulense [adj.mf.sg]
d'eibar	[adj.mf.sp] - eibarrés [adj.f.pl]
d'eibar	[adj.mf.sp] - eibarrés [adj.f.sg]
d'eibar	[adj.mf.sp] - eibarrés [adj.GD.ND]
d'eibar	[adj.mf.sp] - eibarrés [adj.m.pl]
d'eibar	[adj.mf.sp] - eibarrés [adj.m.sg]
d'ici que	[cnjadv] - de aquí a que [cnjadv]
d'ores et déjà	[adv] - de ahora en adelante [adv]
d'un bout à l'autre	[adv] - de principio a fin [adv]
d'un commun accord	[adv] - de mutuo acuerdo [adv]
d'un côté	[cnjadv] - por un lado [cnjadv]
d'un côté	[cnjadv] - por una parte [cnjadv]
d'un côté à l'autre	[adv] - de un lado a otro [adv]
d'un moment à l'autre	[adv] - de un momento a otro [adv]
d'une communauté autonome	[adj.mf.sp] - autonómico [adj.f.pl]
d'une communauté autonome	[adj.mf.sp] - autonómico [adj.f.sg]
d'une communauté autonome	[adj.mf.sp] - autonómico [adj.GD.ND]
d'une communauté autonome	[adj.mf.sp] - autonómico [adj.m.pl]
d'une communauté autonome	[adj.mf.sp] - autonómico [adj.m.sg]
d'une part	[adv] - por un lado [adv]
d'évaluation	[adj.mf.sp] - evaluador [adj.f.pl]
d'évaluation	[adj.mf.sp] - evaluador [adj.f.sg]
d'évaluation	[adj.mf.sp] - evaluador [adj.GD.ND]
d'évaluation	[adj.mf.sp] - evaluador [adj.m.pl]
d'évaluation	[adj.mf.sp] - evaluador [adj.m.sg]
Dacie	[np] - Dacia [np]
Dacruz	[np] - Dacruz [np]
Daddy	[np] - Daddy [np]
Daghestan	[np] - Daguestán [np]
Dahiatsu	[np] - Dahiatsu [np]
Dahir Riyale Kahin	[np] - Dahir Riyale Kahin [np]
Dailymotion	[np] - Dailymotion [np]
Daimler	[np] - Daimler [np]
Dakar	[np] - Dakar [np]
Dakota du Nord	[np] - Dakota del Norte [np]
Dakota du Sud	[np] - Dakota del Sur [np]
Dalap-Uliga-Darrit	[np] - Dalap-Uliga-Darrit [np]
Dalaï lama	[np] - Dalái Lama [np]
dalaï-lama	[np] - Dalai Lama [np]
dallage	[n] - pavimento [n]
dalle	[n] - losa [n]
daller	[vblex] - embaldosar [vblex]
daller	[vblex] - enladrillar [vblex]
Dalmatie	[np] - Dalmacia [np]
Dalí	[np] - Dalí [np]
Damart	[np] - Damart [np]
Damas	[np] - Damasco [np]
dame	[n.f] - señor [n.f]
dame	[n] - dama [n]
dame de nage	[n] - chumacera de remo [n]
damer	[vblex] - coronar [vblex]
damer le pion	[vblex] - ganar por la mano [vblex]
Damiano	[np] - Damiano [np]
Damien	[np] - Damien [np]
Damián	[np] - Damián [np]
Damoclès	[np] - Damocles [np]
Dan	[np] - Dan [np]
Danemark	[np] - Dinamarca [np]
danger	[n] - peligro [n]
dangereusement	[adv] - peligrosamente [adv]
dangereux	[adj.f] - peligroso [adj.f]
dangereux	[adj.m.sp] - peligroso [adj.m.ND]
dangereux	[adj.m.sp] - peligroso [adj.m.pl]
dangereux	[adj.m.sp] - peligroso [adj.m.sg]
dangerosité	[n] - peligrosidad [n]
Dani	[np] - Dani [np]
Daniel	[np] - Daniel [np]
Daniel Ortega	[np] - Daniel Ortega [np]
Daniele	[np] - Daniele [np]
